id,language,route,viewport,width,height,area,check,expected_result,status,owner,notes
M-001,ES,/,mobile,390,844,Navigation,Menu behavior on small screens,Menu opens/closes without overlap or scroll lock issues,TODO,QA,
M-002,EN,/en/,mobile,390,844,Navigation,Menu behavior on small screens,Menu opens/closes without overlap or scroll lock issues,TODO,QA,
M-003,ES,/nosotros.html,mobile,390,844,Layout,Team cards stacking,Cards stack cleanly and remain readable,TODO,QA,
M-004,EN,/en/about.html,mobile,390,844,Layout,Team cards stacking,Cards stack cleanly and remain readable,TODO,QA,
M-005,ES,/portafolio.html,mobile,390,844,Layout,Portfolio grid stacking,Items stack with no clipping and functional links,TODO,QA,
M-006,EN,/en/portfolio.html,mobile,390,844,Layout,Portfolio grid stacking,Items stack with no clipping and functional links,TODO,QA,
M-007,ES,/contacto.html,mobile,390,844,Layout,Contact columns on mobile,Info and form sections reflow correctly,TODO,QA,
M-008,EN,/en/contact.html,mobile,390,844,Layout,Contact columns on mobile,Info and form sections reflow correctly,TODO,QA,
M-009,ES,/,mobile,390,844,Performance,Initial rendering speed,Above-the-fold content appears quickly on 4G profile,TODO,QA,
M-010,EN,/en/,mobile,390,844,Performance,Initial rendering speed,Above-the-fold content appears quickly on 4G profile,TODO,QA,
M-011,ES,/,mobile,390,844,Media,Lazy images loading,Images load on scroll with no broken placeholders,TODO,QA,
M-012,EN,/en/,mobile,390,844,Media,Lazy images loading,Images load on scroll with no broken placeholders,TODO,QA,
M-013,ES,/contacto.html,mobile,390,844,Form,Touch input usability,All inputs are tap-friendly and keyboard types are appropriate,TODO,QA,
M-014,EN,/en/contact.html,mobile,390,844,Form,Touch input usability,All inputs are tap-friendly and keyboard types are appropriate,TODO,QA,
M-015,ES,/contacto.html,mobile,390,844,Form,Submit success flow,Success alert appears and form resets after valid submit,TODO,QA,
M-016,EN,/en/contact.html,mobile,390,844,Form,Submit success flow,Success alert appears in English and form resets,TODO,QA,
M-017,ES,/,mobile,390,844,Accessibility,Focus order on mobile keyboard,Logical tab order and visible focus cues,TODO,QA,
M-018,EN,/en/,mobile,390,844,Accessibility,Focus order on mobile keyboard,Logical tab order and visible focus cues,TODO,QA,
M-019,ES,/,mobile,390,844,SEO,Meta preview card behavior,OG/Twitter tags resolve expected title/description/image,TODO,QA,Use card validator tools
M-020,EN,/en/,mobile,390,844,SEO,Meta preview card behavior,OG/Twitter tags resolve expected title/description/image,TODO,QA,Use card validator tools
M-021,ALL,/en/,mobile,390,844,Routing,Cross-language URL behavior,ES and EN URLs resolve without 404s,TODO,QA,
M-022,EN,/en/about.html,mobile,390,844,Routing,Pretty URL redirects,/en/about redirects to /en/about.html with 200 content,TODO,QA,
M-023,EN,/en/portfolio.html,mobile,390,844,Routing,Pretty URL redirects,/en/portfolio redirects to /en/portfolio.html with 200 content,TODO,QA,
M-024,EN,/en/contact.html,mobile,390,844,Routing,Pretty URL redirects,/en/contact redirects to /en/contact.html with 200 content,TODO,QA,
M-025,EN,/en/,mobile,390,844,Brand tone,English copy review on mobile,Tone remains natural and consistent in compact layouts,TODO,Brand,
M-026,ES,/,mobile,390,844,Language switch,Floating switch on mobile,Floating language button remains reachable and does not clash with menu/footer,TODO,QA,
M-027,EN,/en/,mobile,390,844,Language switch,Floating switch on mobile,Floating language button remains reachable and links back to ES route,TODO,QA,
M-028,ALL,/contacto.html,mobile,390,844,Form security,Captcha optional activation on mobile,With Turnstile env vars set submit requires valid captcha token on touch devices,TODO,QA,Requires TURNSTILE_SITE_KEY and TURNSTILE_SECRET_KEY in Netlify
