id,language,route,viewport,width,height,area,check,expected_result,status,owner,notes
D-001,ES,/,desktop,1440,900,Navigation,Main menu links render and work,Home/Nosotros/Portafolio/Contacto links visible and functional,TODO,Brand+QA,
D-002,ES,/nosotros.html,desktop,1440,900,Navigation,Header active state,Nosotros item shown as active,TODO,Brand+QA,
D-003,ES,/portafolio.html,desktop,1440,900,Navigation,Header active state,Portafolio item shown as active,TODO,Brand+QA,
D-004,ES,/contacto.html,desktop,1440,900,Navigation,Header active state,Contacto item shown as active,TODO,Brand+QA,
D-005,EN,/en/,desktop,1440,900,Navigation,Main menu links render and work,Home/About/Portfolio/Contact links visible and functional,TODO,Brand+QA,
D-006,EN,/en/about.html,desktop,1440,900,Navigation,Header active state,About item shown as active,TODO,Brand+QA,
D-007,EN,/en/portfolio.html,desktop,1440,900,Navigation,Header active state,Portfolio item shown as active,TODO,Brand+QA,
D-008,EN,/en/contact.html,desktop,1440,900,Navigation,Header active state,Contact item shown as active,TODO,Brand+QA,
D-009,ES,/,desktop,1440,900,Hero,Primary hero copy and layout,No clipping/overlap in hero text and CTA areas,TODO,Brand+QA,
D-010,EN,/en/,desktop,1440,900,Hero,Primary hero copy and layout,No clipping/overlap in hero text and CTA areas,TODO,Brand+QA,Tone review required
D-011,ES,/,desktop,1440,900,Video,Lightbox open from service card,Video modal opens and closes correctly,TODO,QA,
D-012,EN,/en/,desktop,1440,900,Video,Lightbox open from service card,Video modal opens and closes correctly,TODO,QA,
D-013,ES,/contacto.html,desktop,1440,900,Form,Validation required fields,Empty required fields block submit and show clear feedback,TODO,QA,
D-014,EN,/en/contact.html,desktop,1440,900,Form,Validation required fields,Empty required fields block submit and show clear feedback,TODO,QA,
D-015,ES,/contacto.html,desktop,1440,900,Form,Valid submit flow,Successful submit shows success alert in Spanish,TODO,QA,
D-016,EN,/en/contact.html,desktop,1440,900,Form,Valid submit flow,Successful submit shows success alert in English,TODO,QA,
D-017,ES,/contacto.html,desktop,1440,900,Form,Honeypot hidden field,bot-field is not visible to users,TODO,QA,
D-018,EN,/en/contact.html,desktop,1440,900,Form,Honeypot hidden field,bot-field is not visible to users,TODO,QA,
D-019,ES,/,desktop,1440,900,Accessibility,Keyboard navigation,Visible focus state and reachable interactive controls,TODO,QA,
D-020,EN,/en/,desktop,1440,900,Accessibility,Keyboard navigation,Visible focus state and reachable interactive controls,TODO,QA,
D-021,ES,/,desktop,1440,900,Accessibility,Contrast checks,Text remains legible in services and portfolio intro blocks,TODO,QA,
D-022,EN,/en/,desktop,1440,900,Accessibility,Contrast checks,Text remains legible in translated sections,TODO,QA,
D-023,ES,/,desktop,1440,900,SEO,Canonical and hreflang,Canonical points ES URL and hreflang points EN pair,TODO,QA,Validate in page source
D-024,EN,/en/,desktop,1440,900,SEO,Canonical and hreflang,Canonical points EN URL and hreflang points ES pair,TODO,QA,Validate in page source
D-025,ES,/portafolio.html,desktop,1440,900,SEO,OG/Twitter metadata,Title/description/image set and coherent with route intent,TODO,Brand+QA,
D-026,EN,/en/portfolio.html,desktop,1440,900,SEO,OG/Twitter metadata,Title/description/image set and coherent with route intent,TODO,Brand+QA,
D-027,ES,/,desktop,1440,900,Footer,Social links and legal copy,All social links open in new tab with secure rel attrs,TODO,QA,
D-028,EN,/en/,desktop,1440,900,Footer,Social links and legal copy,All social links open in new tab with secure rel attrs,TODO,QA,
D-029,EN,/en/about.html,desktop,1440,900,Brand tone,English wording review,Copy sounds natural and on-brand in English,TODO,Brand,
D-030,EN,/en/contact.html,desktop,1440,900,Brand tone,English wording review,Copy sounds natural and on-brand in English,TODO,Brand,
D-031,ES,/,desktop,1440,900,Language switch,Floating switch position and behavior,Floating language button stays bottom-left and links to /en/ without overlap,TODO,QA,
D-032,EN,/en/,desktop,1440,900,Language switch,Floating switch position and behavior,Floating language button stays bottom-left and links to /,TODO,QA,
D-033,ALL,/contacto.html,desktop,1440,900,Form security,Captcha optional activation,With Turnstile env vars set, submit requires valid captcha token,TODO,QA,Requires TURNSTILE_SITE_KEY and TURNSTILE_SECRET_KEY in Netlify
